0610007P14Rik	0610007P14Rik
0610009B22Rik	0610009B22Rik
0610009L18Rik	0610009L18Rik
0610009O20Rik	0610009O20Rik
0610010F05Rik	0610010F05Rik
0610010K14Rik	0610010K14Rik
0610011F06Rik	0610011F06Rik
0610030E20Rik	0610030E20Rik
0610037L13Rik	0610037L13Rik
0610040J01Rik	0610040J01Rik
1110001J03Rik	1110001J03Rik
1110002E22Rik	1110002E22Rik
1110004E09Rik	1110004E09Rik
1110004F10Rik	1110004F10Rik
1110007C09Rik	1110007C09Rik
1110008F13Rik	1110008F13Rik
1110008L16Rik	1110008L16Rik
1110008P14Rik	1110008P14Rik
1110012L19Rik	1110012L19Rik
1110017D15Rik	1110017D15Rik
1110025L11Rik	1110025L11Rik
1110032A03Rik	1110032A03Rik
1110032F04Rik	1110032F04Rik
1110034G24Rik	1110034G24Rik
1110037F02Rik	1110037F02Rik
1110038F14Rik	1110038F14Rik
1110051M20Rik	1110051M20Rik
1110057P08Rik	1110057P08Rik
1110059E24Rik	1110059E24Rik
1110059G10Rik	1110059G10Rik
1110065P20Rik	1110065P20Rik
1190002N15Rik	1190002N15Rik
1190003K10Rik	1190003K10Rik
1190005I06Rik	1190005I06Rik
1190007I07Rik	1190007I07Rik
1200014J11Rik	1200014J11Rik
1300017J02Rik	1300017J02Rik
1500009C09Rik	1500009C09Rik
1500009L16Rik	1500009L16Rik
1500011B03Rik	1500011B03Rik
1500011K16Rik	1500011K16Rik
1500012F01Rik	1500012F01Rik
1500015O10Rik	1500015O10Rik
1520401A03Rik	1520401A03Rik
1600002H07Rik	1600002H07Rik
1600002K03Rik	1600002K03Rik
1600012H06Rik	1600012H06Rik
1600014C10Rik	1600014C10Rik
1600014C23Rik	1600014C23Rik
1600014K23Rik	1600014K23Rik
1600015I10Rik	1600015I10Rik
1600029O15Rik	1600029O15Rik
1700001C02Rik	1700001C02Rik
1700001C19Rik	1700001C19Rik
1700001F09Rik	1700001F09Rik
1700001J03Rik	1700001J03Rik
1700001J11Rik	1700001J11Rik
1700001K19Rik	1700001K19Rik
1700001L19Rik	1700001L19Rik
1700001O22Rik	1700001O22Rik
1700001P01Rik	1700001P01Rik
1700003E16Rik	1700003E16Rik
1700003F12Rik	1700003F12Rik
1700003H04Rik	1700003H04Rik
1700003M02Rik	1700003M02Rik
1700003N22Rik	1700003N22Rik
1700006A11Rik	1700006A11Rik
1700006E09Rik	1700006E09Rik
1700007B14Rik	1700007B14Rik
1700007E05Rik	1700007E05Rik
1700007G11Rik	1700007G11Rik
1700007K09Rik	1700007K09Rik
1700007K13Rik	1700007K13Rik
1700008F21Rik	1700008F21Rik
1700008O03Rik	1700008O03Rik
1700008P02Rik	1700008P02Rik
1700009N14Rik	1700009N14Rik
